,Client,Project,Description,Start date,Start time,End date,End time,Duration,Tags,Type,Domain
0,F2023,GenAI & Art,Banquet Slides,2023-08-21,10:57:04,2023-08-21,10:57:39,0 days 00:00:35,"Domain: School, Type: Implementing",Implementing,School
1,F2023,GenAI & Art,Banquet Slides,2023-08-21,11:00:43,2023-08-21,11:19:58,0 days 00:19:15,"Domain: School, Type: Implementing",Implementing,School
2,F2023,Algorithms,Pre-Quiz,2023-08-21,20:16:02,2023-08-21,20:28:49,0 days 00:12:47,"Domain: School, Type: Practice",Practice,School
3,F2023,SWE,C01A,2023-08-21,20:39:26,2023-08-21,20:46:14,0 days 00:06:48,"Domain: School, Type: Writing",Writing,School
4,F2023,SWE,C01S: OOP Survey,2023-08-21,20:46:53,2023-08-21,20:49:40,0 days 00:02:47,"Domain: School, Type: Assessment",Assessment,School
5,F2023,SWE,C01P,2023-08-21,20:51:20,2023-08-21,20:58:38,0 days 00:07:18,"Domain: School, Type: Reading",Reading,School
6,F2023,SWE,C02P,2023-08-21,20:59:37,2023-08-21,21:38:58,0 days 00:39:21,"Domain: School, Type: Reading",Reading,School
7,,Personal Admin Maintenance,Climbing Email,2023-08-22,09:33:58,2023-08-22,09:41:19,0 days 00:07:21,"Domain: School, Type: Writing",Writing,School
8,,Personal Admin Maintenance,Click-Up Scheduling,2023-08-22,18:36:35,2023-08-22,18:57:48,0 days 00:21:13,"Domain: School, Type: Implementing",Implementing,School
9,F2023,SWE,C02P,2023-08-23,09:48:57,2023-08-23,10:19:18,0 days 00:30:21,"Domain: School, Type: Reading",Reading,School
10,F2023,SWE,C03P Prep,2023-08-23,10:22:08,2023-08-23,10:53:00,0 days 00:30:52,"Domain: School, Type: Reading",Reading,School
11,F2023,SWE,C02Q: Partner Declare,2023-08-23,13:47:48,2023-08-23,13:53:14,0 days 00:05:26,"Domain: School, Type: Implementing",Implementing,School
12,F2023,SWE,C02A-1: Eclipse and Java,2023-08-23,13:53:48,2023-08-23,14:37:51,0 days 00:44:03,"Domain: School, Type: Coding",Coding,School
13,F2023,Algorithms,Pre-Quiz,2023-08-23,14:59:37,2023-08-23,15:05:00,0 days 00:05:23,"Domain: School, Type: Practice",Practice,School
14,F2023,Algorithms,HW Example,2023-08-23,15:05:48,2023-08-23,15:19:41,0 days 00:13:53,"Domain: School, Type: Practice",Practice,School
15,F2023,Algorithms,HW Example,2023-08-24,11:16:55,2023-08-24,11:45:27,0 days 00:28:32,"Domain: School, Type: Practice",Practice,School
16,F2023,Algorithms,HW Example,2023-08-25,13:30:00,2023-08-25,13:42:47,0 days 00:12:47,"Domain: School, Type: Practice",Practice,School
18,F2023,Algorithms,HW1,2023-08-28,13:53:02,2023-08-28,14:20:30,0 days 00:27:28,"Domain: School, Type: Practice",Practice,School
19,F2023,SWE,C04P,2023-08-28,14:25:00,2023-08-28,15:04:47,0 days 00:39:47,"Domain: School, Type: Reading",Reading,School
20,F2023,OS,P1-D2,2023-08-28,15:33:00,2023-08-28,15:55:41,0 days 00:22:41,"Domain: School, Type: Coding",Coding,School
21,F2023,OS,P1-D2,2023-08-28,15:55:51,2023-08-28,16:42:29,0 days 00:46:38,"Domain: School, Type: Coding",Coding,School
22,F2023,OS,P1-D2,2023-08-28,16:46:52,2023-08-28,17:14:05,0 days 00:27:13,"Domain: School, Type: Coding",Coding,School
23,F2023,GenAI & Art,Understanding Comics,2023-08-28,20:19:40,2023-08-28,20:51:19,0 days 00:31:39,"Domain: School, Type: Reading",Reading,School
24,F2023,OS,P1-D2,2023-08-29,09:16:26,2023-08-29,09:49:35,0 days 00:33:09,"Domain: School, Type: Coding",Coding,School
25,F2023,OS,P1-D2,2023-08-29,09:50:25,2023-08-29,10:10:20,0 days 00:19:55,"Domain: School, Type: Coding",Coding,School
26,F2023,OS,P1-D2,2023-08-29,10:17:17,2023-08-29,10:58:05,0 days 00:40:48,"Domain: School, Type: Coding",Coding,School
27,F2023,GenAI & Art,Understanding Comics,2023-08-29,11:04:03,2023-08-29,11:36:34,0 days 00:32:31,"Domain: School, Type: Reading",Reading,School
28,F2023,OS,P1-D2,2023-08-29,13:34:50,2023-08-29,13:48:19,0 days 00:13:29,"Domain: School, Type: Coding",Coding,School
29,F2023,GenAI & Art,Week 1 Assignment,2023-08-29,20:04:11,2023-08-29,20:53:36,0 days 00:49:25,"Domain: School, Type: Writing",Writing,School
30,F2023,SWE,C03A-1 (CodingBat Pair),2023-08-30,09:08:34,2023-08-30,09:23:20,0 days 00:14:46,"Domain: School, Type: Implementing",Implementing,School
32,F2023,Algorithms,Graphs Reading,2023-08-30,10:09:48,2023-08-30,10:20:22,0 days 00:10:34,"Domain: School, Type: Reading",Reading,School
33,F2023,Algorithms,HW1,2023-08-30,10:20:28,2023-08-30,10:40:35,0 days 00:20:07,"Domain: School, Type: Practice",Practice,School
34,F2023,OS,P1-D2,2023-08-30,10:43:23,2023-08-30,11:10:01,0 days 00:26:38,"Domain: School, Type: Coding",Coding,School
35,F2023,SWE,C03A-2 (CodingBat Individual),2023-08-31,10:45:20,2023-08-31,11:15:41,0 days 00:30:21,"Domain: School, Type: Coding",Coding,School
36,F2023,SWE,C03A-2 (CodingBat Individual),2023-08-31,15:19:49,2023-08-31,15:29:06,0 days 00:09:17,"Domain: School, Type: Coding",Coding,School
37,F2023,GenAI & Art,Daytripper,2023-08-31,16:31:22,2023-08-31,17:09:45,0 days 00:38:23,"Domain: School, Type: Reading",Reading,School
38,F2023,SWE,C05P,2023-09-01,10:17:42,2023-09-01,10:50:40,0 days 00:32:58,"Domain: School, Type: Reading",Reading,School
39,F2023,Algorithms,HW1,2023-09-01,10:51:12,2023-09-01,11:02:55,0 days 00:11:43,"Domain: School, Type: Practice",Practice,School
40,F2023,SWE,C03A-1 (CodingBat Pair),2023-09-01,11:25:00,2023-09-01,11:45:26,0 days 00:20:26,"Domain: School, Type: Implementing",Implementing,School
41,F2023,Algorithms,HW1,2023-09-01,14:23:08,2023-09-01,14:47:06,0 days 00:23:58,"Domain: School, Type: Practice",Practice,School
42,F2023,OS,HW1,2023-09-01,14:50:34,2023-09-01,15:24:56,0 days 00:34:22,"Domain: School, Type: Practice",Practice,School
43,F2023,OS,P1-D2,2023-09-01,15:35:11,2023-09-01,16:04:47,0 days 00:29:36,"Domain: School, Type: Coding",Coding,School
44,F2023,OS,HW1,2023-09-01,16:11:08,2023-09-01,16:18:00,0 days 00:06:52,"Domain: School, Type: Practice",Practice,School
45,F2023,GenAI & Art,Understanding Comics,2023-09-01,16:27:51,2023-09-01,16:57:48,0 days 00:29:57,"Domain: School, Type: Reading",Reading,School
46,F2023,GenAI & Art,Daytripper,2023-09-04,15:38:05,2023-09-04,16:19:14,0 days 00:41:09,"Domain: School, Type: Reading",Reading,School
47,F2023,SWE,C06P,2023-09-05,09:00:45,2023-09-05,09:32:14,0 days 00:31:29,"Domain: School, Type: Reading",Reading,School
48,F2023,GenAI & Art,Daytripper,2023-09-05,10:11:16,2023-09-05,10:22:11,0 days 00:10:55,"Domain: School, Type: Reading",Reading,School
49,F2023,GenAI & Art,Daytripper,2023-09-05,10:44:00,2023-09-05,10:54:34,0 days 00:10:34,"Domain: School, Type: Reading",Reading,School
50,F2023,Algorithms,Week 3 Videos,2023-09-05,10:56:26,2023-09-05,11:16:20,0 days 00:19:54,"Domain: School, Type: Reading",Reading,School
51,F2023,Algorithms,HW2,2023-09-05,11:16:37,2023-09-05,11:58:08,0 days 00:41:31,"Domain: School, Type: Practice",Practice,School
52,F2023,OS,P1-D2,2023-09-05,21:07:05,2023-09-05,21:18:13,0 days 00:11:08,"Domain: School, Type: Coding",Coding,School
53,F2023,GenAI & Art,Understanding Comics,2023-09-06,09:04:46,2023-09-06,09:07:45,0 days 00:02:59,"Domain: School, Type: Reading",Reading,School
54,F2023,GenAI & Art,Understanding Comics,2023-09-06,09:11:12,2023-09-06,09:29:52,0 days 00:18:40,"Domain: School, Type: Reading",Reading,School
55,F2023,GenAI & Art,Week 2 Reflection,2023-09-06,09:30:06,2023-09-06,10:01:58,0 days 00:31:52,"Domain: School, Type: Writing",Writing,School
56,F2023,Algorithms,HW2,2023-09-06,15:16:35,2023-09-06,15:56:47,0 days 00:40:12,"Domain: School, Type: Practice",Practice,School
58,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-07,08:45:00,2023-09-07,08:52:04,0 days 00:07:04,"Domain: School, Type: Writing",Writing,School
59,F2023,GenAI & Art,Understanding Comics,2023-09-07,10:35:49,2023-09-07,11:09:30,0 days 00:33:41,"Domain: School, Type: Reading",Reading,School
60,F2023,GenAI & Art,Understanding Comics,2023-09-07,11:14:32,2023-09-07,11:34:37,0 days 00:20:05,"Domain: School, Type: Reading",Reading,School
61,F2023,SWE,C06A: Stove,2023-09-08,09:32:37,2023-09-08,09:55:39,0 days 00:23:02,"Domain: School, Type: Coding",Coding,School
63,F2023,GenAI & Art,Understanding Comics,2023-09-08,14:51:40,2023-09-08,15:12:42,0 days 00:21:02,"Domain: School, Type: Reading",Reading,School
64,F2023,Algorithms,HW2,2023-09-08,15:13:54,2023-09-08,15:21:23,0 days 00:07:29,"Domain: School, Type: Practice",Practice,School
66,F2023,Algorithms,Maze Project - Code,2023-09-08,17:11:44,2023-09-08,17:26:19,0 days 00:14:35,"Domain: School, Type: Coding",Coding,School
67,F2023,Algorithms,Maze Project - Code,2023-09-08,20:07:28,2023-09-08,20:19:18,0 days 00:11:50,"Domain: School, Type: Coding",Coding,School
68,F2023,Algorithms,Maze Project - Code,2023-09-09,09:33:14,2023-09-09,11:02:28,0 days 01:29:14,"Domain: School, Type: Coding",Coding,School
69,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-10,19:35:04,2023-09-10,20:27:50,0 days 00:52:46,"Domain: School, Type: Writing",Writing,School
70,F2023,Algorithms,Maze Project - Code,2023-09-10,20:28:24,2023-09-10,21:05:57,0 days 00:37:33,"Domain: School, Type: Coding",Coding,School
71,F2023,SWE,C06A: Stove,2023-09-11,08:35:32,2023-09-11,08:44:57,0 days 00:09:25,"Domain: School, Type: Coding",Coding,School
72,F2023,Algorithms,Maze Project - Code,2023-09-11,08:48:45,2023-09-11,10:15:12,0 days 01:26:27,"Domain: School, Type: Coding",Coding,School
73,F2023,Algorithms,Maze Project - Code,2023-09-11,10:19:23,2023-09-11,10:21:52,0 days 00:02:29,"Domain: School, Type: Coding",Coding,School
74,F2023,Algorithms,Maze Project - Code,2023-09-11,10:51:20,2023-09-11,10:54:00,0 days 00:02:40,"Domain: School, Type: Coding",Coding,School
75,F2023,SWE,C07P,2023-09-11,10:54:24,2023-09-11,11:09:58,0 days 00:15:34,"Domain: School, Type: Reading",Reading,School
76,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-11,18:19:20,2023-09-11,19:28:03,0 days 01:08:43,"Domain: School, Type: Writing",Writing,School
77,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-11,19:34:03,2023-09-11,19:39:01,0 days 00:04:58,"Domain: School, Type: Writing",Writing,School
78,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-11,19:50:00,2023-09-11,20:16:18,0 days 00:26:18,"Domain: School, Type: Writing",Writing,School
79,F2023,Algorithms,Maze Project - Testing,2023-09-11,20:17:00,2023-09-11,20:29:29,0 days 00:12:29,"Domain: School, Type: Coding",Coding,School
80,F2023,Algorithms,Maze Project - Testing,2023-09-11,22:02:00,2023-09-11,22:21:38,0 days 00:19:38,"Domain: School, Type: Coding",Coding,School
81,F2023,SWE,C07P,2023-09-11,22:21:53,2023-09-11,22:37:37,0 days 00:15:44,"Domain: School, Type: Reading",Reading,School
82,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-12,16:49:17,2023-09-12,17:26:23,0 days 00:37:06,"Domain: School, Type: Writing",Writing,School
83,F2023,Algorithms,Maze Project - Testing,2023-09-12,17:53:59,2023-09-12,18:03:52,0 days 00:09:53,"Domain: School, Type: Coding",Coding,School
84,F2023,Algorithms,Maze Project - Testing,2023-09-12,18:11:42,2023-09-12,18:24:15,0 days 00:12:33,"Domain: School, Type: Coding",Coding,School
85,F2023,GenAI & Art,Week 4 Assignment,2023-09-12,19:11:51,2023-09-12,20:01:35,0 days 00:49:44,"Domain: School, Type: Writing",Writing,School
86,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-13,08:27:42,2023-09-13,08:47:16,0 days 00:19:34,"Domain: School, Type: Writing",Writing,School
87,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-13,11:30:00,2023-09-13,11:45:00,0 days 00:15:00,"Domain: School, Type: Writing",Writing,School
88,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-13,14:10:24,2023-09-13,14:14:11,0 days 00:03:47,"Domain: School, Type: Writing",Writing,School
89,,Personal Admin Maintenance,Running Email,2023-09-13,14:22:04,2023-09-13,14:23:53,0 days 00:01:49,"Domain: School, Type: Implementing",Implementing,School
90,,Personal Admin Maintenance,Running Email,2023-09-13,14:27:28,2023-09-13,14:34:36,0 days 00:07:08,"Domain: School, Type: Implementing",Implementing,School
91,F2023,SWE,C08P,2023-09-13,14:59:35,2023-09-13,15:30:00,0 days 00:30:25,"Domain: School, Type: Reading",Reading,School
92,F2023,Algorithms,Maze Project - Report,2023-09-14,11:25:08,2023-09-14,11:37:46,0 days 00:12:38,"Domain: School, Type: Writing",Writing,School
93,F2023,Algorithms,Maze Project - Report,2023-09-14,11:40:00,2023-09-14,12:00:07,0 days 00:20:07,"Domain: School, Type: Writing",Writing,School
94,F2023,Algorithms,Maze Project - Code,2023-09-14,18:05:10,2023-09-14,18:19:08,0 days 00:13:58,"Domain: School, Type: Coding",Coding,School
95,F2023,Algorithms,Maze Project - Report,2023-09-14,18:19:12,2023-09-14,19:43:30,0 days 01:24:18,"Domain: School, Type: Writing",Writing,School
96,F2023,SWE,C07A-2,2023-09-14,19:47:29,2023-09-14,20:30:27,0 days 00:42:58,"Domain: School, Type: Implementing",Implementing,School
97,F2023,Algorithms,Maze Project - Report,2023-09-15,11:25:16,2023-09-15,11:50:44,0 days 00:25:28,"Domain: School, Type: Writing",Writing,School
98,F2023,SWE,C07A-2,2023-09-15,13:42:33,2023-09-15,14:11:10,0 days 00:28:37,"Domain: School, Type: Implementing",Implementing,School
99,F2023,Algorithms,Maze Project - Report,2023-09-15,14:11:32,2023-09-15,14:42:44,0 days 00:31:12,"Domain: School, Type: Writing",Writing,School
100,F2023,Algorithms,Maze Project - Report,2023-09-15,14:44:49,2023-09-15,14:55:13,0 days 00:10:24,"Domain: School, Type: Writing",Writing,School
101,F2023,SWE,C07C,2023-09-15,15:17:22,2023-09-15,16:33:45,0 days 01:16:23,"Domain: School, Type: Coding",Coding,School
102,F2023,Algorithms,Maze Project - Report,2023-09-15,20:22:06,2023-09-15,20:31:12,0 days 00:09:06,"Domain: School, Type: Writing",Writing,School
103,F2023,OS,P2-D1,2023-09-18,09:20:37,2023-09-18,09:36:16,0 days 00:15:39,"Domain: School, Type: Coding",Coding,School
104,F2023,SWE,C09P,2023-09-18,10:32:02,2023-09-18,10:59:25,0 days 00:27:23,"Domain: School, Type: Reading",Reading,School
105,F2023,Algorithms,AlgoBowl Pre-Read,2023-09-18,11:15:00,2023-09-18,11:22:20,0 days 00:07:20,"Domain: School, Type: Reading",Reading,School
106,F2023,Algorithms,MST Pre-Read,2023-09-18,11:23:00,2023-09-18,11:30:44,0 days 00:07:44,"Domain: School, Type: Reading",Reading,School
107,F2023,GenAI & Art,Week 5 Assignment (Brain-storming 2),2023-09-18,11:33:43,2023-09-18,11:47:28,0 days 00:13:45,"Domain: School, Type: Writing",Writing,School
108,F2023,GenAI & Art,Maus,2023-09-18,13:30:00,2023-09-18,14:15:00,0 days 00:45:00,"Domain: School, Type: Reading",Reading,School
109,F2023,SWE,C09P,2023-09-18,15:44:31,2023-09-18,15:47:09,0 days 00:02:38,"Domain: School, Type: Reading",Reading,School
110,F2023,SWE,P2 Jesus Lecture,2023-09-18,15:51:31,2023-09-18,16:29:15,0 days 00:37:44,"Domain: School, Type: Reading",Reading,School
111,F2023,SWE,P2 Jesus Lecture,2023-09-18,16:34:23,2023-09-18,16:43:44,0 days 00:09:21,"Domain: School, Type: Reading",Reading,School
112,F2023,OS,P2-D1,2023-09-18,16:43:47,2023-09-18,17:01:27,0 days 00:17:40,"Domain: School, Type: Coding",Coding,School
113,F2023,OS,P2-D1,2023-09-18,19:23:17,2023-09-18,20:44:21,0 days 01:21:04,"Domain: School, Type: Coding",Coding,School
114,F2023,GenAI & Art,Week 5 Assignment (Brain-storming 2),2023-09-18,20:44:45,2023-09-18,21:04:38,0 days 00:19:53,"Domain: School, Type: Writing",Writing,School
115,F2023,GenAI & Art,Week 5 Assignment (Brain-storming 2),2023-09-19,09:06:59,2023-09-19,09:48:52,0 days 00:41:53,"Domain: School, Type: Writing",Writing,School
116,F2023,Algorithms,HW3,2023-09-19,09:51:27,2023-09-19,10:30:26,0 days 00:38:59,"Domain: School, Type: Practice",Practice,School
117,F2023,OS,P2-D1,2023-09-19,11:34:00,2023-09-19,11:54:41,0 days 00:20:41,"Domain: School, Type: Coding",Coding,School
118,F2023,GenAI & Art,Maus,2023-09-19,19:47:10,2023-09-19,21:02:21,0 days 01:15:11,"Domain: School, Type: Reading",Reading,School
119,F2023,SWE,C10P,2023-09-20,08:53:57,2023-09-20,09:11:58,0 days 00:18:01,"Domain: School, Type: Reading",Reading,School
120,F2023,SWE,C10P,2023-09-20,13:07:49,2023-09-20,13:19:33,0 days 00:11:44,"Domain: School, Type: Reading",Reading,School
121,F2023,GenAI & Art,Week 5 Assignment (Brain-storming 2),2023-09-20,13:39:52,2023-09-20,13:51:47,0 days 00:11:55,"Domain: School, Type: Writing",Writing,School
122,F2023,OS,HW2,2023-09-21,10:43:45,2023-09-21,11:02:47,0 days 00:19:02,"Domain: School, Type: Practice",Practice,School
123,F2023,Algorithms,HW3,2023-09-21,11:02:52,2023-09-21,11:03:30,0 days 00:00:38,"Domain: School, Type: Practice",Practice,School
124,F2023,SWE,C09A-1,2023-09-21,11:03:43,2023-09-21,11:36:54,0 days 00:33:11,"Domain: School, Type: Coding",Coding,School
125,F2023,Algorithms,HW3,2023-09-22,21:12:11,2023-09-22,21:43:05,0 days 00:30:54,"Domain: School, Type: Practice",Practice,School
126,F2023,GenAI & Art,Maus,2023-09-23,11:04:48,2023-09-23,11:59:53,0 days 00:55:05,"Domain: School, Type: Reading",Reading,School
127,F2023,Algorithms,Shortest Path Pre-Read,2023-09-25,11:30:00,2023-09-25,11:38:00,0 days 00:08:00,"Domain: School, Type: Reading",Reading,School
128,F2023,SWE,C11P,2023-09-25,15:43:06,2023-09-25,16:02:34,0 days 00:19:28,"Domain: School, Type: Reading",Reading,School
